Frame,HOG
pruebaC-10079.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10080.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10081.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10082.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10083.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10084.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10085.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10086.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10087.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10088.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10089.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10090.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10091.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10092.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10093.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10094.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10095.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10096.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10097.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10098.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10099.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10100.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10101.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10102.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10103.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10104.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10105.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10106.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10107.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10108.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10109.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10110.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10111.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10112.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10113.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10114.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10115.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10116.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10117.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10118.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10119.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10120.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10121.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10122.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10123.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10124.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10125.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10126.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10127.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10128.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10129.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10130.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10131.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10132.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10133.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10134.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10135.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10136.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10137.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10138.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10139.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10140.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10141.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10142.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10143.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10144.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10145.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10146.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10147.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10148.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10149.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10150.png,[0.         0.         0.         ... 0.         0.         0.02639652]
pruebaC-10151.png,[0.         0.         0.         ... 0.         0.         0.02642248]
pruebaC-10152.png,[0.         0.         0.         ... 0.         0.         0.02643435]
pruebaC-10153.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10154.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10155.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10156.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10157.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10158.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10159.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10160.png,[0.         0.         0.         ... 0.         0.         0.00278497]
pruebaC-10161.png,[0.         0.         0.         ... 0.         0.         0.00262511]
pruebaC-10162.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10163.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10164.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10165.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10166.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10167.png,[0. 0. 0. ... 0. 0. 0.]
