Tipo,Dominante,Media,Mediana
Fuera,B,"[76.99863, 57.118862, 34.033474]","[17.74402, 16.605726, 13.445122]"
Tipo,Dominante,Media,Mediana
Dentro,R,"[41.19024, 80.496414, 167.6054]","[37.40071, 84.493355, 191.91173]"
